gene,gene_name,log2fold,p.val,p.adj,pairwise analysis
TRINITY_DN101473_c0_g1_i1,dazap2,0.011907105,4.43E-20,6.53E-16,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN101547_c0_g1_i1,sugt1,0.072949514,9.06E-08,0.000159485,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN101752_c0_g1_i1,jun,-0.08566394,3.40E-10,1.14E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN101970_c0_g1_i1,RERG,0.011158164,3.60E-07,0.000530466,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN10251_c0_g1_i1,serbp1a,-0.001205279,5.13E-08,9.75E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN10271_c0_g1_i3,sptssb,-0.119239855,1.06E-08,2.35E-05,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1143_c5_g1_i1,zgc:56095,-0.005016481,4.59E-05,0.028057389,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN11613_c0_g2_i1,CSDC2,-0.067402289,7.41E-11,2.91E-07,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1168_c5_g1_i1,AP1S3,-0.190002862,8.93E-05,0.045202051,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN118245_c0_g1_i1,ldha,0.038786573,1.06E-05,0.008717525,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN12271_c0_g1_i2,npepps,-0.019420294,1.06E-05,0.008717525,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1260_c2_g1_i1,fam13b,0.00236175,4.09E-05,0.026544624,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1294_c0_g1_i2,zgc:77056,-0.106438955,3.19E-16,2.89E-12,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN13187_c0_g2_i5,commd2,-0.183566014,1.61E-09,4.87E-06,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1320_c2_g1_i1,hmgb1a,0.058593096,2.78E-27,8.20E-23,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN137_c7_g1_i1,klhdc8a,0.102783667,3.79E-05,0.025339991,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN13826_c0_g1_i5,nsfl1c,-0.026954467,4.19E-05,0.026880033,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1509_c0_g1_i3,dnajc19,0.058508106,1.04E-05,0.008692191,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1515_c2_g2_i1,CPEB4,-0.111652693,3.86E-05,0.025600998,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN15393_c0_g1_i8,l1cama,-0.130583361,8.28E-06,0.007341825,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN15468_c0_g1_i1,KLHL11,0.034791412,2.53E-06,0.002900988,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1566_c0_g3_i2,bpifcl,0.102606172,4.53E-06,0.004642814,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN15684_c0_g1_i1,tmem9b,0.025914068,8.78E-05,0.044828249,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN16209_c0_g1_i1,dnajc28,-0.006251602,7.17E-06,0.006639562,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN165_c0_g1_i1,dnajb1a,0.110871139,0.000104615,0.049363069,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN16657_c0_g1_i2,sypb,-0.020001294,4.28E-34,2.52E-29,shared between C-LCvsHW-HC and HW-LCvsC-HC
TRINITY_DN1698_c1_g4_i1,tpm4a,-0.061103654,1.05E-05,0.008692191,shared between C-LCvsHW-HC and HW-LCvsC-HC
