FishID,Temperature,Complexity
C.HC.01,0,0
C.HC.02,0,0
C.HC.03,0,0
C.HC.04,0,0
C.HC.05,0,0
C.HC.06,0,0
C.HC.07,0,0
C.HC.08,0,0
C.HC.09,0,0
C.HC.10,0,0
C.LC.01,0,1
C.LC.02,0,1
C.LC.03,0,1
C.LC.04,0,1
C.LC.05,0,1
C.LC.06,0,1
C.LC.07,0,1
C.LC.08,0,1
C.LC.09,0,1
C.LC.10,0,1
HW.HC.01,1,0
HW.HC.02,1,0
HW.HC.03,1,0
HW.HC.04,1,0
HW.HC.05,1,0
HW.HC.06,1,0
HW.HC.07,1,0
HW.HC.08,1,0
HW.HC.09,1,0
HW.HC.10,1,0
HW.LC.01,1,1
HW.LC.02,1,1
HW.LC.03,1,1
HW.LC.04,1,1
HW.LC.05,1,1
HW.LC.06,1,1
HW.LC.07,1,1
HW.LC.08,1,1
HW.LC.09,1,1
HW.LC.10,1,1
